,id,nationality,sex,title,content,score
1,A100000_v01.txt_2.txt,중국,남자,우리 나라의 계절과 날씨,제 나라의 계절은 아주 좋아요. 네 계절이 있습니다. 봄에는 날씨가 좋아요. 꽃이 많이 있습니다. 사람들이 공원에 가서 꽃을 구경해요. 사진을 찍거나 놀라요. 여름에는 아주 더워요. 그래서 사람들이 많이 수영을 하러 수영장에 가요. 여름은 아이스크림 많이 있어요. 사람이 아주 좋아해요. 가을에는 날씨가 쌀쌀해요. 바람이 많이 불러요. 단풍을 필습니다. 그래서 산을 가서 단풍을 구경해요. 겨울에는 아주 춥니다. 눈이 많이 내려요. 그럼 사림들이 눈사람을 만나고 스키장에 가요.,80
2,A100000_v02.txt_1.txt,중국,여자,주말 이야기,어제 명동에 갔습니다. 친구하고 같이 갔습니다. 가게가 많습니다. 옷가게가 있었습니다. 옷이 예쁩니다. 하지마 옷을 사지 않습니다. 식당에 많습니다. 음식이 맛있었습니다. 그래서 명동은 좋아합니다.,70
3,A100000_v03.txt_1.txt,중국,남자,여행 계획,저는 여행을 제주도에서 갈 싶습니다. 저는 친구 같이 갈 겁니다. 6월 15일 갈 겁니다. 수영을 하고 추구를 합니다. 그리고 친구 같이 라명을 먹습니다. 저는 친구하거 커피숍에서 이야기 해습니다.,50
4,A100001_v01.txt_1.txt,중국,남자,주말 이야기,주말에 도서관에서 공부했어요. 친구하고 노래방에서 노래했어요. 친구하고 식당에서 비빔밥을 먹었어요. 저 친구는 왕친입니다. 도서관에 책을 많습니다. 사람도 많습니다. 도서관에서 책을 읽었어요. 저는 도서관에서 공부를 재미있었어요.,60
5,A100001_v02.txt_1.txt,중국,남자,주말 이야기,어제 저는 학교에 갔습니다. 학교에서 친구하고를 다닙니다. 학교에 학생 식당 있습니다.,20
6,A100001_v03.txt_1.txt,나이지리아,남자,여행 계획,이번 여행을 제주도에 가고 싶습니다. 제주도에 친구와 같이 겁니다. 거기에서 아름다 바다 있어서 수영 할 겁니다. 그리고 많이 사진은 찍을 겁니다. 보토를 타고 싶십니다. 그리고 오겹살을 많이 먹을 겁니다. 먹걸리 더 마시지만 조금 마시습니다. 오호에 바다는 생책을 할 겁니다. 비행기로 돌아온했습니다. 제 여행 케획 아주 재미있을 것 끝했습니다.,70
7,A100002_v01.txt_1.txt,중국,남자,여행 계획,일요일우후세시에 여행을 가고 싶습니다. 학교 앞에 여항을 가고 싶어요. 그리그 한시에 친구하고 명동에서 밥을 먹어서. 30분뒤에 친구하고 지하철을 탈 겁니다. 지하철열에 사람을 많고 매주재미있습니다. 우리 회기 옆에서 버스를 탈 거예요. 1시뒤에 학교 앞에 도작할거에요.,50
8,A100002_v02.txt_1.txt,중국,여자,주말 이야기,주말에 명동에 갔습니다. 가게가 있었습니다. 옷가게가 많습니다. 그리고 식당이 많습니다. 음식이 맛있었습니다. 친구하고 쇼팡을 했습니다. 옷이 샀습니다. 그래서 저는 명동에 좋아햅니다. 주마에 재미있었니다.,80
9,A100002_v03.txt_1.txt,파키스탄,남자,여행 계획,저는 방학에 제주도에 여행을 하고 싶습니다. 제 동생이 지금 한국에 있어서 함께 갈 겁니다. 비행기 표 비싸서 버스로 갈 겁니다. 제주도에서 수영을 하고 말도 탈 겁니다. 제 동생이 등산을 아주 좋아해서 할아산에 꼭 갈 겁니다. 거기에서 식당이 비싸지만 유명한 음식을 먹을 겁니다. 우리는 거기에서 노래를 부르고 춤을 출 겁니다. 거기에서 사진도 많이 찍을 겁니다.,90
10,A100003_v01.txt_1.txt,미국,여자,주말 이야기,우리 집에 갔습니다. 강아지하고 제 집에 갔습니다. 우리가 놀았습니다. 저는 줌을 자지 않았습니다. 집에 제침대를 있습니다. 집에 강아지 침대도 있습니다. 하지만 우리가 줌을 안 잡니다. 그리고 강아지하고 밥을 먹었습니다. 저는 빵을 먹었습니다. 제 강아지가 동물 음식을 먹었습니다. 모두 맛있었습니다. 저는 재미있었습니다.,80
